,Input_SMILES,Input_Standardised_SMILES,Output,Label,protonated_Output,InchiKey
0,CC(=O)NC1=CC=C(O)C=C1,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,0,CC(=O)Nc1ccc([O-])cc1,RZVAJINKPMORJF
0,CC(=O)NC1=CC=C(O)C=C1,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)c(O)c1,0,CC(=O)Nc1ccc([O-])c([O-])c1,IPFBMHOMTSBTSU
0,CC(=O)NC1=CC=C(O)C=C1,CC(=O)Nc1ccc(O)cc1,COc1ccc(N)cc1,0,COc1ccc(N)cc1,BHAAPTBBJKJZER
0,CC(=O)NC1=CC=C(O)C=C1,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(OS(=O)(=O)O)cc1,0,CC(=O)Nc1ccc(OS(=O)(=O)[O-])cc1,IGTYILLPRJOVFY
0,CC(=O)NC1=CC=C(O)C=C1,CC(=O)Nc1ccc(O)cc1,Nc1ccc(O)cc1,0,Nc1ccc([O-])cc1,PLIKAWJENQZMHA
0,CC(=O)NC1=CC=C(O)C=C1,CC(=O)Nc1ccc(O)cc1,CC(=O)N(O)c1ccc(O)cc1,0,CC(=O)N(O)c1ccc([O-])cc1,CCYHKRWGLAJQTB
0,CC(=O)NC1=CC=C(O)C=C1,CC(=O)Nc1ccc(O)cc1,COc1ccc(NC(C)=O)cc1,0,COc1ccc(NC(C)=O)cc1,XVAIDCNLVLTVFM
1,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,CN(C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,CN(C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,1,C[NH+](C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[n-]cnc2cc1OC1CCOC1,HSPXNODNUFUFPA
1,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,CN(C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,O=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,1,O=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[n-]cnc2cc1OC1CCOC1,RXFHKOIGYXXOHU
1,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,CN(C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,O=C(CC=CO)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,1,O=C(CC=CO)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[n-]cnc2cc1OC1CCOC1,OOBSJVYTJQRPON
1,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,CN(C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,O=c1[nH]cnc2cc(OC3CCOC3)c(Nc3ccc(F)c(Cl)c3)cc12,1,O=c1[n-]cnc2cc(OC3CCOC3)c(Nc3ccc(F)c(Cl)c3)cc12,YJTLZDKLBVFTTF
1,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,CN(C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,O=C(O)CCC(=O)Nc1cc2c(=O)[nH]cnc2cc1OC1CCOC1,1,O=C([O-])CCC(=O)Nc1cc2c(=O)[n-]cnc2cc1OC1CCOC1,GBRSNKQTQGAPKD
1,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,CN(C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,CCC1OCCC1Oc1cc2nc[nH]c(=Nc3ccc(F)c(Cl)c3)c2cc1N,1,CCC1OCCC1Oc1cc2nc[n-]c(=Nc3ccc(F)c(Cl)c3)c2cc1N,YJKIGOPTKZRFHA
1,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,CN(C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,O=C(C/C=C/O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1O,1,O=C(C/C=C/O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[n-]cnc2cc1[O-],YMQXUWQJIIGWHM
1,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,CN(C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,CN(C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1O,1,C[NH+](C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[n-]cnc2cc1[O-],FZAOYRZMTPOJCC
1,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,CN(C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,1,Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[n-]cnc2cc1OC1CCOC1,BIQABKFYKJRXII
1,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,CN(C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,CC1OCCC1Oc1cc2nc[nH]c(=Nc3ccc(F)c(Cl)c3)c2cc1N,1,CC1OCCC1Oc1cc2nc[n-]c(=Nc3ccc(F)c(Cl)c3)c2cc1N,KXGGORGLANNCNW
1,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,CN(C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[nH]cnc2cc1OC1CCOC1,O=C(/C=C/O)Nc1cc2nc[nH]c(=Nc3ccc(F)c(Cl)c3)c2cc1OC1CCOC1,1,O=C(/C=C/O)Nc1cc2nc[n-]c(=Nc3ccc(F)c(Cl)c3)c2cc1OC1CCOC1,FUQMZDCSQXCBLA
