sl,PubChem_CID,drugbank_id,name,inchikey,inchi,description,smiles,logP,DIRIL_Rank,2023 ATC Search Name,2023 DDD,2023 Unit
1,1983,DB00316,Acetaminophen,RZVAJINKPMORJF-UHFFFAOYSA-N,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)","Acetaminophen (paracetamol), also commonly known as _Tylenol_, is the most commonly taken analgesic worldwide and is recommended as first-line therapy in pain conditions by the World Health Organization (WHO).[A176318] It is also used for its antipyretic effects, helping to reduce fever.[F4124] This drug was initially approved by the U.S. FDA in 1951 and is available in a variety of forms including syrup form, regular tablets, effervescent tablets, injection, suppository, and other forms.[L5756,L5774,F4124,Label]

Acetaminophen is often found combined with other drugs in more than 600 over the counter (OTC) allergy medications, cold medications, sleep medications, pain relievers, and other products.[L5783] Confusion about dosing of this drug may be caused by the availability of different formulas, strengths, and dosage instructions for children of different ages.[L5783] Due to the possibility of fatal overdose and liver failure associated with the incorrect use of acetaminophen, it is important to follow current and available national and manufacturer dosing guidelines while this drug is taken or prescribed.[L5786,L5789,Label]",CC(=O)NC1=CC=C(O)C=C1,0.46,Non-Nephrotoxic,paracetamol,3,g
2,10184653,DB08916,Afatinib,ULXXDDBFHOBEHA-CWDCEQMOSA-N,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1","Afatinib is a 4-anilinoquinazoline tyrosine kinase inhibitor in the form of a dimaleate salt available as Boehringer Ingelheim's brand name Gilotrif [FDA Label]. For oral use, afatinib tablets are a first-line (initial) treatment for patients with metastatic non-small cell lung cancer (NSCLC) with common epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test [L2939]. Gilotrif (afatinib) is the first FDA-approved oncology product from Boehringer Ingelheim [L2939].",CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,,Nephrotoxic,Afatinib,40,mg
3,2471,DB00887,Bumetanide,MAEIEVLCKWDQJH-UHFFFAOYSA-N,"InChI=1S/C17H20N2O5S/c1-2-3-9-19-14-10-12(17(20)21)11-15(25(18,22)23)16(14)24-13-7-5-4-6-8-13/h4-8,10-11,19H,2-3,9H2,1H3,(H,20,21)(H2,18,22,23)",Bumetanide  is a sulfamyl diuretic.,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,2.6,Non-Nephrotoxic,Bumetanide,1,mg
4,2478,DB01008,Busulfan,COVZYZSDYWQREU-UHFFFAOYSA-N,"InChI=1S/C6H14O6S2/c1-13(7,8)11-5-3-4-6-12-14(2,9)10/h3-6H2,1-2H3","Busulfan is a bifunctional alkylating agent, having a selective immunosuppressive effect on bone marrow. It is not a structural analog of the nitrogen mustards. It has been used in the palliative treatment of chronic myeloid leukemia (myeloid leukemia, chronic), but although symptomatic relief is provided, no permanent remission is brought about. According to the Fourth Annual Report on Carcinogens (NTP 85-002, 1985), busulfan is listed as a known carcinogen.",CS(=O)(=O)OCCCCOS(C)(=O)=O,-0.52,Non-Nephrotoxic,Busulfan,See Dosage Label Dosage Notes,See Dosage Label Dosage Notes
5,3639,DB00999,Hydrochlorothiazide,JZUFKLXOESDKRF-UHFFFAOYSA-N,"InChI=1S/C7H8ClN3O4S2/c8-4-1-5-7(2-6(4)16(9,12)13)17(14,15)11-3-10-5/h1-2,10-11H,3H2,(H2,9,12,13)","Hydrochlorothiazide is the most commonly prescribed thiazide diuretic.[A185138] It is indicated to treat edema and hypertension.[A185138,L8447,L8450] Hydrochlorothiazide use is common but declining in favour of angiotensin converting enzyme inhibitors.[A185138] Many combination products are available containing hydrochlorothiazide and angiotensin converting enzyme inhibitors[L8390,L8423] or angiotensin II receptor blockers.[L7426,L7459]

Hydrochlorothiazide was granted FDA approval on 12 February 1959.[L8444]",NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,-0.07,Nephrotoxic,Hydrochlorothiazide,25,mg
6,3672,DB01050,Ibuprofen,HEFNNWSXXWATRW-UHFFFAOYSA-N,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)","Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) derived from propionic acid and it is considered the first of the propionics.[A39074] The formula of ibuprofen is 2-(4-isobutylphenyl) propionic acid and its initial development was in 1960 while researching for a safer alternative for aspirin.[A39075] Ibuprofen was finally patented in 1961 and this drug was first launched against rheumatoid arthritis in the UK in 1969 and USA in 1974. It was the first available over-the-counter NSAID.[A39076]

On the available products, ibuprofen is administered as a racemic mixture. Once administered, the R-enantiomer undergoes extensive interconversion to the S-enantiomer _in vivo_ by the activity of the alpha-methylacyl-CoA racemase. In particular, it is generally proposed that the S-enantiomer is capable of eliciting stronger pharmacological activity than the R-enantiomer.[A39194]",CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,3.97,Nephrotoxic,Ibuprofen,1.2,g
7,5291,DB00619,Imatinib,KTUFNOKKBVMGRW-UHFFFAOYSA-N,"InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)","Imatinib is a small molecule kinase inhibitor that revolutionized the treatment of cancer, particularly chronic myeloid leukemia, in 2001.[A249305] It was deemed a ""miracle drug"" due to its clinical success, as oncologist Dr. Brian noted that ""complete hematologic responses were observed in 53 of 54 patients with CML treated with a daily dosage of 300 mg or more and typically occurred in the first four weeks of therapy"".[A249315]. The discovery of imatinib also established a new group of therapy called ""targeted therapy"", since treatment can be tailored specifically to the unique cancer genetics of each patient.[L42220]",CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,3,Nephrotoxic,Imatinib,0.4,g
8,4616,DB00842,Oxazepam,ADIMAYPTOBDMTL-UHFFFAOYSA-N,"InChI=1S/C15H11ClN2O2/c16-10-6-7-12-11(8-10)13(9-4-2-1-3-5-9)18-15(20)14(19)17-12/h1-8,15,20H,(H,17,19)","Oxazepam is an intermediate-acting, 3-hydroxybenzodiazepine used in the treatment of alcohol withdrawal and anxiety disorders. Oxazepam, like related 3-hydroxybenzodiazepine [lorazepam], is considered less susceptible to pharmacokinetic variability based on patient-specific factors (e.g. age, liver disease) - this feature is advantageous as compared to other benzodiazepines, and is likely owing in part to oxazepam's relatively simple metabolism.[A203516] It is an active metabolite of both [diazepam] and [temazepam][A39486] and undergoes very little biotransformation following absorption, making it unlikely to participate in pharmacokinetic interactions.[L13895]",OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,2.24,Non-Nephrotoxic,Oxazepam,50,mg
9,134780,DB08910,Pomalidomide,UVSMNLNDYGZFPF-UHFFFAOYSA-N,"InChI=1S/C13H11N3O4/c14-7-3-1-2-6-10(7)13(20)16(12(6)19)8-4-5-9(17)15-11(8)18/h1-3,8H,4-5,14H2,(H,15,17,18)","Pomalidomide, an analogue of thalidomide, is an immunomodulatory antineoplastic agent. FDA approved on February 8, 2013.",NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,,Nephrotoxic,Pomalidomide,3,mg
10,216239,DB00398,Sorafenib,MLDQJTXFUGDVEO-UHFFFAOYSA-N,"InChI=1S/C21H16ClF3N4O3/c1-26-19(30)18-11-15(8-9-27-18)32-14-5-2-12(3-6-14)28-20(31)29-13-4-7-17(22)16(10-13)21(23,24)25/h2-11H,1H3,(H,26,30)(H2,28,29,31)","Sorafenib (rINN), marketed as Nexavar by Bayer, is a drug approved for the treatment of advanced renal cell carcinoma (primary kidney cancer). It has also received ""Fast Track"" designation by the FDA for the treatment of advanced hepatocellular carcinoma (primary liver cancer), and has since performed well in Phase III trials.
Sorafenib is a small molecular inhibitor of Raf kinase, PDGF (platelet-derived growth factor), VEGF receptor 2 & 3 kinases and c Kit the receptor for Stem cell factor. A growing number of drugs target most of these pathways. The originality of Sorafenib lays in its simultaneous targeting of the Raf/Mek/Erk pathway.",CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,3.8,Nephrotoxic,Sorafenib,0.8,g
