iteration,metabolite_smiles,metabolite_pred,metabolite_proba,metabolite_optimal_threshold_from_train,metabolite_pred_optimal,dataset,featurespace
1,['Nc1ccc(N=Nc2ccccc2)c([O-])n1'],[1.],[0.53995762],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
2,['O=C1Nc2ccc(Cl)cc2C(c2ccc([O-])cc2)N1'],[1.],[0.50210342],0.598671433735347,[0],Metabolite Compounds Train,morgan_fingerprint
3,['CCC(O)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl'],[1.],[0.74149814],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
4,['COCCc1ccc(OCC(O)C[NH2+]C(C)CO)cc1'],[0.],[0.47574485],0.5986714337353469,[0],Metabolite Compounds Train,morgan_fingerprint
5,['CC(CCc1ccccc1)n1ccc2cc([O-])c(C(N)=O)cc21'],[1.],[0.52232095],0.5986714337353471,[0],Metabolite Compounds Train,morgan_fingerprint
6,['NC(=[NH2+])N=C(O)C(O)c1c(Cl)cccc1Cl'],[1.],[0.62906018],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
7,['CCOc1nc2cccc(C(=O)[O-])c2n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1'],[1.],[0.92609094],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
8,['CC#CCn1c(NCCCC(O)C(=O)[O-])nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C'],[0.],[0.34928513],0.4900942129471541,[0],Metabolite Compounds Train,morgan_fingerprint
9,['C[NH2+]C1(C)C2CC(O)C1(C)C2'],[1.],[0.54811721],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
10,['O=S(=O)([O-])OC1C(O)COC(O)C1OS(=O)(=O)[O-]'],[0.],[0.33917382],0.4900942129471541,[0],Metabolite Compounds Train,morgan_fingerprint
11,['CN(Cc1cnc2[n-]c(=N)[n-]c(=N)c2n1)c1ccc(C(=O)N[C@H](CCC(=O)[O-])C(=O)[O-])c([O-])c1'],[1.],[0.65321534],0.5986714337353471,[1],Metabolite Compounds Train,morgan_fingerprint
12,['Nn1cc([O-])[n-]c1=O'],[0.],[0.45095854],0.49009421294715416,[0],Metabolite Compounds Train,morgan_fingerprint
13,['COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)[NH+]2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)=CC(C)C(O)C(=O)C(C)CC(C)C=CC=C1C'],[1.],[0.88432496],0.5986714337353469,[1],Metabolite Compounds Train,morgan_fingerprint
14,['Nc1c(Cl)cc(C(=O)NC2CC[NH+](CCCO)CC2)c2c1CCO2'],[0.],[0.49946485],0.598671433735347,[0],Metabolite Compounds Train,morgan_fingerprint
15,['Cc1ccccc1[NH+]1c2cc(Cl)c(S(N)(=O)=O)cc2C(=O)C1C'],[1.],[0.54090865],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
16,['CC(=O)NCCCS'],[1.],[0.54011468],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
17,['CCOC(=O)c1c(C)nc(C)c(C(=O)OC)c1-c1ccccc1[N+](=O)[O-]'],[0.],[0.4029441],0.49009421294715416,[0],Metabolite Compounds Train,morgan_fingerprint
18,['CC(C)[NH2+]CC(O)COc1ccc([O-])c2c1CCN2'],[0.],[0.28920825],0.4900942129471541,[0],Metabolite Compounds Train,morgan_fingerprint
19,['[O-]c1ccc2c(c1[O-])OCO2'],[0.],[0.4822384],0.4900942129471541,[0],Metabolite Compounds Train,morgan_fingerprint
20,['C=CCC1=CC(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)[NH+]3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(O)C3)C(C)C(O)CC1=O)C(C)CC2OC'],[1.],[0.94193739],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
21,['O=S(=O)([O-])c1cc2c(cc1C(F)(F)F)[NH+]=CNS2(=O)=O'],[1.],[0.67882618],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
22,['Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=S'],[0.],[0.48154824],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
23,['Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)[N-]C(=O)[NH2+]C3CCCC[C@@H]3O)cc2)cn1'],[0.],[0.19481421],0.5986714337353471,[0],Metabolite Compounds Train,morgan_fingerprint
24,['CC(C)([NH3+])C(=O)c1ccccc1[O-]'],[1.],[0.56152807],0.598671433735347,[0],Metabolite Compounds Train,morgan_fingerprint
25,['COC(=O)C1=C(C)N=C(C)C(C(=O)[O-])C1c1cccc([N+](=O)[O-])c1'],[0.],[0.36401001],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
26,['OCCOC1CC(n2nnc3c(=NC4CC4c4ccc(F)c(F)c4)nc[n-]c32)C(O)C1O'],[0.],[0.35971981],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
27,['CC(Oc1cc(-c2cnn(C3CCNC(=O)C3)c2)c[n-]c1=N)c1c(Cl)ccc(F)c1Cl'],[1.],[0.8501751],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
28,['CC(=O)c1ccccc1'],[1.],[0.55236416],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
29,['NC(=[NH2+])Nc1nc(CSCCC(=O)[N-]S(N)(=O)=O)cs1'],[1.],[0.60131888],0.5986714337353471,[1],Metabolite Compounds Train,morgan_fingerprint
30,['CC[NH2+]CCOC(=O)C1(C2CCCCC2)CCCCC1'],[1.],[0.57862063],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
31,['CCCC[NH+]1CC(O)C(O)C(OS(=O)(=O)[O-])C1CO'],[1.],[0.53506556],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
32,['O=C([O-])C1CCC(CO)CC1'],[1.],[0.68542112],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
33,['CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)C'],[1.],[0.69644833],0.5503088932567195,[1],Metabolite Compounds Train,morgan_fingerprint
34,['[NH3+]CCc1c[nH]c2ccc(CC3COC(O)[NH2+]3)cc12'],[0.],[0.25091964],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
35,['Cc1nc2n(c(=O)c1CC=O)CCCC2'],[0.],[0.48860211],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
36,['CCCc1nc(C(C)(O)CO)c(C(=O)[O-])n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1'],[1.],[0.94905085],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
37,['COCCCOc1cc(CC(CC([NH3+])C(O)CC(C(=O)NCC(C)(C)C(=O)[O-])C(C)C)C(C)C)ccc1OC'],[1.],[0.73217956],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
38,['CC1CNC(=[NH+]C(=O)C2C(=O)c3ccccc3S(=O)(=O)[NH+]2C)S1'],[1.],[0.84745695],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
39,['CC(O)OC(=O)c1cccc2nc([O-])n(Cc3ccc(-c4ccccc4-c4nn[n-]n4)cc3)c12'],[1.],[0.86820907],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
40,['CC(C)(CO)c1nc(-c2ccnc(N)n2)c(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)s1'],[1.],[0.81198815],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
41,['NC(=O)c1cn(Cc2c(F)cc([O-])cc2F)nn1'],[1.],[0.81017253],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
